date,estimated_value,real_value,raw_estimated_value,fpr,fnr,avg_days,threshold,Optimal_THR,Optimal_fPr,Optimal_fNr
2024-11-01,0.42857142857142855,0.0,0.4471428460840668,0.36883116883116884,0.03571428571428571,16.0,0.4383928483862075,0.4822321332248283,0.2022727272727273,0.2022727272727273
2024-11-08,0.21428571428571427,0.0,0.2785714247397014,0.36883116883116884,0.03571428571428571,16.0,0.4383928483862075,0.4822321332248283,0.2022727272727273,0.2022727272727273
2024-11-15,0.7142857142857143,0.0,0.5721428436892373,0.36883116883116884,0.03571428571428571,16.0,0.4383928483862075,0.4822321332248283,0.2022727272727273,0.2022727272727273
2024-11-22,0.5714285714285714,0.0,0.43142856005579233,0.36883116883116884,0.03571428571428571,16.0,0.4383928483862075,0.4822321332248283,0.2022727272727273,0.2022727272727273
2024-11-29,0.42857142857142855,0.0,0.41785713231989313,0.36883116883116884,0.03571428571428571,16.0,0.4383928483862075,0.4822321332248283,0.2022727272727273,0.2022727272727273
2024-12-06,0.5,0.0,0.48571428124393734,0.36883116883116884,0.03571428571428571,16.0,0.4383928483862075,0.4822321332248283,0.2022727272727273,0.2022727272727273
2024-12-13,0.5,0.0,0.5492857098579407,0.36883116883116884,0.03571428571428571,16.0,0.4383928483862075,0.4822321332248283,0.2022727272727273,0.2022727272727273
2024-12-20,0.5714285714285714,0.0,0.554285709746182,0.36883116883116884,0.03571428571428571,16.0,0.4383928483862075,0.4822321332248283,0.2022727272727273,0.2022727272727273
2024-12-27,0.5,0.0,0.47928570876164095,0.36883116883116884,0.03571428571428571,16.0,0.4383928483862075,0.4822321332248283,0.2022727272727273,0.2022727272727273
2025-01-03,0.7142857142857143,0.0,0.5321428467120443,0.36883116883116884,0.03571428571428571,16.0,0.4383928483862075,0.4822321332248283,0.2022727272727273,0.2022727272727273
2025-01-10,0.5714285714285714,0.0,0.555714277284486,0.36883116883116884,0.03571428571428571,16.0,0.4383928483862075,0.4822321332248283,0.2022727272727273,0.2022727272727273
2025-01-17,0.5714285714285714,0.0,0.5385714207908937,0.36883116883116884,0.03571428571428571,16.0,0.4383928483862075,0.4822321332248283,0.2022727272727273,0.2022727272727273
2025-01-24,0.5714285714285714,0.0,0.5014285690018109,0.36883116883116884,0.03571428571428571,16.0,0.4383928483862075,0.4822321332248283,0.2022727272727273,0.2022727272727273
