date,estimated_value,real_value,raw_estimated_value,fpr,fnr,avg_days,threshold,Accuracy_Index,validation_error,training_error
2024-12-15,0.375,0.0,0.47624998912215233,0.453125,0.0,5.875,0.4776388827918304,0.7331696817723703,0.3873852451497691,0.2311466092243255
2024-12-16,0.5,0.0,0.40374998678453267,0.453125,0.0,5.875,0.4776388827918304,0.7331696817723703,0.3873852451497691,0.2311466092243255
2024-12-17,0.375,0.0,0.44499998912215233,0.453125,0.0,5.875,0.4776388827918304,0.7331696817723703,0.3873852451497691,0.2311466092243255
2024-12-18,0.5,0.0,0.5337499922607094,0.453125,0.0,5.875,0.4776388827918304,0.7331696817723703,0.3873852451497691,0.2311466092243255
2024-12-19,0.375,0.0,0.4324999935925007,0.453125,0.0,5.875,0.4776388827918304,0.7331696817723703,0.3873852451497691,0.2311466092243255
2024-12-20,0.375,0.0,0.43374999216757715,0.453125,0.0,5.875,0.4776388827918304,0.7331696817723703,0.3873852451497691,0.2311466092243255
2024-12-21,0.5,0.0,0.5249999910593033,0.453125,0.0,5.875,0.4776388827918304,0.7331696817723703,0.3873852451497691,0.2311466092243255
2024-12-22,0.375,0.0,0.45499998633749783,0.453125,0.0,5.875,0.4776388827918304,0.7331696817723703,0.3873852451497691,0.2311466092243255
2024-12-23,0.5,0.0,0.46624999353662133,0.453125,0.0,5.875,0.4776388827918304,0.7331696817723703,0.3873852451497691,0.2311466092243255
2024-12-24,0.5,0.0,0.3562499852851033,0.453125,0.0,5.875,0.4776388827918304,0.7331696817723703,0.3873852451497691,0.2311466092243255
2024-12-25,0.25,0.0,0.34499998809769744,0.453125,0.0,5.875,0.4776388827918304,0.7331696817723703,0.3873852451497691,0.2311466092243255
2024-12-26,0.5,0.0,0.382499992614612,0.453125,0.0,5.875,0.4776388827918304,0.7331696817723703,0.3873852451497691,0.2311466092243255
2024-12-27,0.375,0.0,0.4024999812245369,0.453125,0.0,5.875,0.4776388827918304,0.7331696817723703,0.3873852451497691,0.2311466092243255
2024-12-28,0.5,0.0,0.5099999886006117,0.453125,0.0,5.875,0.4776388827918304,0.7331696817723703,0.3873852451497691,0.2311466092243255
2024-12-29,0.625,0.0,0.5487499795854092,0.453125,0.0,5.875,0.4776388827918304,0.7331696817723703,0.3873852451497691,0.2311466092243255
2024-12-30,0.5,0.0,0.5512499997857958,0.453125,0.0,5.875,0.4776388827918304,0.7331696817723703,0.3873852451497691,0.2311466092243255
2024-12-31,0.625,0.0,0.43999998830258846,0.453125,0.0,5.875,0.4776388827918304,0.7331696817723703,0.3873852451497691,0.2311466092243255
2025-01-01,0.25,0.0,0.28249999508261675,0.453125,0.0,5.875,0.4776388827918304,0.7331696817723703,0.3873852451497691,0.2311466092243255
2025-01-02,0.25,0.0,0.32499998901039356,0.453125,0.0,5.875,0.4776388827918304,0.7331696817723703,0.3873852451497691,0.2311466092243255
2025-01-03,0.375,0.0,0.41499998839572066,0.453125,0.0,5.875,0.4776388827918304,0.7331696817723703,0.3873852451497691,0.2311466092243255
2025-01-04,0.375,0.0,0.44999999389983714,0.453125,0.0,5.875,0.4776388827918304,0.7331696817723703,0.3873852451497691,0.2311466092243255
